horizon_ns,regime,band,threshold,threshold_source,test_rows,target_standard_deviation,local_mae,cross_venue_mae,delta_mae,local_ic,cross_venue_ic,delta_ic,cross_venue_mae_improved,conclusion
250000000,venue_age,high,30491550.0,training_partition_median,2437,109.18043223731796,42.57995055018991,48.818456574705536,6.2385060245156225,0.2166162425960452,0.1910142579002446,-0.025601984695800606,False,cross_venue_mae_not_improved
1000000000,spread,low,1.0,training_partition_median,5281,262.90502822326516,141.22395765365908,159.0745272372765,17.850569583617414,0.3070626680909939,0.27249341497623947,-0.03456925311475445,False,cross_venue_mae_not_improved
1000000000,volatility,low,0.0,training_partition_median,4469,255.00866630197794,131.2397458535375,149.16481679497676,17.92507094143926,0.2806312076858862,0.2457930172360859,-0.03483819044980027,False,cross_venue_mae_not_improved
1000000000,volatility,high,0.0,training_partition_median,812,294.464785138904,196.17401003634788,213.61454690062322,17.440536864275344,0.34731013253746945,0.33724100927256495,-0.0100691232649045,False,cross_venue_mae_not_improved
1000000000,depth,low,2024751000.0,training_partition_median,3734,256.61746685872686,125.09468177773442,143.33352853684752,18.238846759113102,0.24570333625917246,0.23100705304404268,-0.01469628321512978,False,cross_venue_mae_not_improved
1000000000,depth,high,2024751000.0,training_partition_median,1547,272.82143375770784,180.1552544349794,197.06863786908113,16.913383434101718,0.3882347420389336,0.32095525629432314,-0.06727948574461046,False,cross_venue_mae_not_improved
1000000000,trade_activity,low,476000.0,training_partition_median,3263,256.6679870090441,127.48094406952917,144.16119790372696,16.680253834197785,0.24347242745581424,0.22527526062735984,-0.018197166828454403,False,cross_venue_mae_not_improved
1000000000,trade_activity,high,476000.0,training_partition_median,2018,271.37228555814283,163.44568873642208,183.1885974133776,19.742908676955523,0.3781953680364421,0.3315615494756175,-0.0466338185608246,False,cross_venue_mae_not_improved
1000000000,imbalance,low,0.7734116080684516,training_partition_median,3216,244.82710530601355,110.2589300844577,132.22749653378736,21.968566449329657,0.20292920304356907,0.17297869212551392,-0.029950510918055145,False,cross_venue_mae_not_improved
1000000000,imbalance,high,0.7734116080684516,training_partition_median,2065,288.73027521720434,189.44842673964044,200.8856898244053,11.43726308476485,0.39198682769435084,0.3558843549162897,-0.03610247277806111,False,cross_venue_mae_not_improved
1000000000,venue_age,low,30491550.0,training_partition_median,2845,261.91855117727874,141.74339046911302,160.38282661620548,18.639436147092454,0.3323949837652613,0.29518481293683774,-0.03721017082842354,False,cross_venue_mae_not_improved
1000000000,venue_age,high,30491550.0,training_partition_median,2436,264.0464278028902,140.61731300671056,157.54656675572764,16.92925374901708,0.2770416283259271,0.2455206125724977,-0.031521015753429416,False,cross_venue_mae_not_improved
