horizon_ns,target_reference,predictor_reference,rows,mae_ticks,ic,direction_accuracy,balanced_accuracy,roc_auc_nonzero,target_standard_deviation_ticks,evaluation_scope
100000000,consolidated_microprice,venue_4_midpoint,25488,6572.639500572901,-0.010254459155137409,0.3846516007532957,0.3305219690407501,0.49265417156274705,141.530213458409,full_capture_no_fitted_parameters
100000000,consolidated_microprice,venue_4_microprice,25488,15095.192034062793,-0.033669388754378485,0.3756669805398619,0.3226590327015557,0.49019005484632705,141.530213458409,full_capture_no_fitted_parameters
250000000,consolidated_midpoint,consolidated_midpoint,34767,39.271888572496906,,0.9115540598843731,0.3333333333333333,0.5,192.94079497913864,full_capture_no_fitted_parameters
250000000,consolidated_midpoint,consolidated_microprice,34767,39.52909007488622,0.07486376881333057,0.0804786147783818,0.6062010582010582,0.9479576719576719,192.94079497913864,full_capture_no_fitted_parameters
250000000,consolidated_midpoint,venue_1_midpoint,34766,44.84013835356383,0.24198650869378466,0.9094229994822528,0.35327393806214974,0.529457856840322,192.75206402252064,full_capture_no_fitted_parameters
250000000,consolidated_midpoint,venue_1_microprice,34766,45.09584165570222,0.2424454830574863,0.08148766035782086,0.6137797543413808,0.9687852604828464,192.75206402252064,full_capture_no_fitted_parameters
250000000,consolidated_midpoint,venue_4_midpoint,25429,6577.317737622399,-0.014172410287828617,0.045459907979079006,0.29613026478594406,0.4452062360801782,195.92669895731123,full_capture_no_fitted_parameters
250000000,consolidated_midpoint,venue_4_microprice,25429,15095.458674195115,-0.03917200981412426,0.04392622596248378,0.2822352882949765,0.42796792873051226,195.92669895731123,full_capture_no_fitted_parameters
250000000,consolidated_microprice,consolidated_midpoint,34767,39.60778713982938,-0.06957083685406955,0.43544165444243105,0.3178269499671261,0.46397375060939194,192.89096128140224,full_capture_no_fitted_parameters
250000000,consolidated_microprice,consolidated_microprice,34767,39.30985579509223,,0.08577098973164207,0.3333333333333333,0.5,192.89096128140224,full_capture_no_fitted_parameters
250000000,consolidated_microprice,venue_1_midpoint,34766,45.16233683720025,0.241545617574019,0.436058217798999,0.3182496969712329,0.46503477795612624,192.70262817667424,full_capture_no_fitted_parameters
250000000,consolidated_microprice,venue_1_microprice,34766,44.87432953305302,0.24198009815835742,0.09112351147673013,0.3367486232417392,0.5029563024809448,192.70262817667424,full_capture_no_fitted_parameters
250000000,consolidated_microprice,venue_4_midpoint,25429,6577.347738979299,-0.014199219088584047,0.4617562625349011,0.3301660415590904,0.49349597082156765,195.86669007696156,full_capture_no_fitted_parameters
250000000,consolidated_microprice,venue_4_microprice,25429,15095.478231864201,-0.03920385873734903,0.45617208698729794,0.32542601429014373,0.4905239351627531,195.86669007696156,full_capture_no_fitted_parameters
1000000000,consolidated_midpoint,consolidated_midpoint,34692,138.9045601291364,,0.7567450709097199,0.3333333333333333,0.5,400.8481599799983,full_capture_no_fitted_parameters
1000000000,consolidated_midpoint,consolidated_microprice,34692,139.07093653590823,0.07705659674349871,0.21004842615012106,0.5752281219776195,0.9137219472890286,400.8481599799983,full_capture_no_fitted_parameters
1000000000,consolidated_midpoint,venue_1_midpoint,34691,141.76809547144794,0.17071625191520118,0.7576316623908218,0.34297379886936613,0.5136210235031688,400.7615272458271,full_capture_no_fitted_parameters
1000000000,consolidated_midpoint,venue_1_microprice,34691,141.93429649797736,0.17131550610374255,0.2119569917269609,0.5802455313206157,0.9271803828606228,400.7615272458271,full_capture_no_fitted_parameters
1000000000,consolidated_midpoint,venue_4_midpoint,25363,6592.278437093404,-0.015447284299619498,0.1255766273705792,0.31249277404990244,0.4640809072962764,429.86327084779845,full_capture_no_fitted_parameters
1000000000,consolidated_midpoint,venue_4_microprice,25363,15106.242939565886,-0.039677848354321095,0.12052990576824509,0.29479486472408617,0.4554622054723167,429.86327084779845,full_capture_no_fitted_parameters
1000000000,consolidated_microprice,consolidated_midpoint,34692,139.2408320799658,-0.07391951393537526,0.45967369998846996,0.3075015940506815,0.4451768528352294,400.94405044857706,full_capture_no_fitted_parameters
1000000000,consolidated_microprice,consolidated_microprice,34692,139.01876394174323,,0.0021330566124754986,0.3333333333333333,0.5,400.94405044857706,full_capture_no_fitted_parameters
1000000000,consolidated_microprice,venue_1_midpoint,34691,142.09224191067878,0.17005758093088977,0.460263468911245,0.3078640881681038,0.4465430203221843,400.8576594397695,full_capture_no_fitted_parameters
1000000000,consolidated_microprice,venue_1_microprice,34691,141.876358316255,0.17064338774091214,0.007840650312761235,0.3371092930564296,0.5029577763626272,400.8576594397695,full_capture_no_fitted_parameters
